productId,name,productFamily,active,candidateCapabilities,relationTypes,confidence,evidence,coverageStatus,reviewReason
2024,Hip Thrust de Pie | Peach Builder,PLATE_LOADED_MACHINE,true,HIP_THRUST,DIRECT,EXPLICIT,NAME:NAME:hip thrust:NAME_HIP_THRUST_EXPLICIT_V1:,UNMODELED,
1493,Rack de Almacenamiento Balones Medicinales Horizontal | HWM®,STORAGE,true,,,,,NO_CAPABILITY_APPLICABLE,
1590,Par Muñequeras de Tela Spiral 2.0 Negro | HWM®,PROTECTIVE_GEAR,true,,,,,NO_CAPABILITY_APPLICABLE,
1919,Rack de Almacenamiento Mancuernas Monster Horizontal 3 Bandejas | HWM®,STORAGE,true,,,,,NO_CAPABILITY_APPLICABLE,
950,Pack 150Lbs Woman | Barbell Standard,,false,,,,,NO_CAPABILITY_APPLICABLE,
1511,Elevación de Talones Sentado MO 2.0 | Obelix®,PLATE_LOADED_MACHINE,true,,,,,UNMODELED,
1816,Par de Soportes Para Discos Olímpicos Accesorio Delta | HWM®,MACHINE_ATTACHMENT,true,,,,,NO_CAPABILITY_APPLICABLE,
2022,Reverse Hyper | Peach Builder,PLATE_LOADED_MACHINE,true,,,,,UNMODELED,
419,Rack de Almacenamiento Body Pump | FullFit,STORAGE,true,,,,,NO_CAPABILITY_APPLICABLE,
1348,Agarre Multipropósito - Accesorio Polea | Obelix,CABLE_MACHINE,true,,,,,NO_CAPABILITY_APPLICABLE,
1194,Rack de Almacenamiento Balones Medicinales 10pcs | HWM,STORAGE,true,,,,,NO_CAPABILITY_APPLICABLE,
1124,Lat Pull Down | Accesorio Smith Machine ZR Series | PROmachine,PLATE_LOADED_MACHINE,true,,,,,NO_CAPABILITY_APPLICABLE,
1204,Set 40kg Mancuernas Eco + Kettlebell (Color Rojo) | Forza,DUMBBELL,false,,,,,NO_CAPABILITY_APPLICABLE,
424,Sandbag 25kg | HWM,BALL_BAG,true,,,,,UNMODELED,
1936,Pack Econ Glow | HWM®,,true,,,,,UNMODELED,
1256,Par Discos Olímpicos Rubber Hand Grip 5kg | XMASTER,WEIGHT_PLATE,true,,,,,NO_CAPABILITY_APPLICABLE,
1667,Par Guantes Grab QuickPro Negro | FullFit,PROTECTIVE_GEAR,true,,,,,NO_CAPABILITY_APPLICABLE,
1169,Almohadilla de Barra Diamond | FullFit,BARBELL,true,,,,,NO_CAPABILITY_APPLICABLE,
673,Pack 100lbs Crumb Bumper Kong + Barra Training 20kg HWM,WEIGHT_PLATE,,,,,,UNMODELED,
157,Escalera de Agilidad | FullFit,,true,,,,,UNMODELED,
833,Par Bumper Plates Color Stripe 25kg | HWM®,WEIGHT_PLATE,true,,,,,UNMODELED,
2025,Multi Hip Extension | Peach Builder,PLATE_LOADED_MACHINE,true,,,,,INSUFFICIENT_EVIDENCE,
1825,Banco Sentadilla Búlgara | Rising,BENCH,true,,,,,NO_CAPABILITY_APPLICABLE,SQUAT: Candidate capability is deferred from Training Semantics V1.
1875,Pec Fly Accesorio Banco B814 | PROmachine,BENCH,true,,,,,NO_CAPABILITY_APPLICABLE,
1587,Cinturón de Levantamiento Darkness | HWM®,PROTECTIVE_GEAR,true,,,,,NO_CAPABILITY_APPLICABLE,
1127,AbMat Ergo | HWM®,,true,,,,,NO_CAPABILITY_APPLICABLE,
1458,Par Bumper Plates Classic Color 10kg | HWM®,WEIGHT_PLATE,true,,,,,UNMODELED,
193,Kettlebell de Vinilo 10kg,KETTLEBELL,true,,,,,UNMODELED,
269,Banco Olímpico Declinado MO Series | Obelix,BENCH,true,,,,,NO_CAPABILITY_APPLICABLE,
870,Par Discos Deslizantes Sliding Disc | FullFit,WEIGHT_PLATE,true,,,,,UNMODELED,
2094,Banco Multifunción Magnum | HWM®,BENCH,true,,,,,NO_CAPABILITY_APPLICABLE,
46,"Barra Preolímpica ""W"" 120cm 7kg 25mm",BARBELL,true,,,,,NO_CAPABILITY_APPLICABLE,
1617,Pack 4 Bicicletas de Spinning SP9 | Obelix,CARDIO_MACHINE,false,,,,,UNMODELED,
1081,Pack Streght Equipment Men | KONG,,,,,,,UNMODELED,
1932,Pack 15kg Fraccionales | HWM®,WEIGHT_PLATE,true,,,,,UNMODELED,
1921,Dual Crossover MO 2.0 | Obelix®,CABLE_MACHINE,true,,,,,UNMODELED,
896,Landmine | Accesorio Power Rack Heavy Duty Series | HWM,MACHINE_ATTACHMENT,false,,,,,NO_CAPABILITY_APPLICABLE,
86,Cuerda de Salto 1.0 Pvc Negro | FullFit,ROPE_SLED,true,,,,,UNMODELED,
1843,Clubbell 12kg | Rising,KETTLEBELL,true,,,,,UNMODELED,
361,Par Pesos de Tobillo Gris 2.5kg | FullFit,,true,,,,,UNMODELED,
891,Spotter Arms (Par) | Accesorio Power Rack Heavy Duty Series | HWM,MACHINE_ATTACHMENT,false,,,,,NO_CAPABILITY_APPLICABLE,
1349,Agarre Manilla Simple de Caucho - Accesorio Polea (Par) | Obelix,CABLE_MACHINE,true,,,,,NO_CAPABILITY_APPLICABLE,
1974,Pack Crossover + Banco Regulable MO 2.0 | Obelix,CABLE_MACHINE,false,,,,,UNMODELED,
1248,Par Discos Fraccionados Chromed Steel 0.5kg | XMASTER,WEIGHT_PLATE,true,,,,,UNMODELED,
831,Par Bumper Plates Color Stripe 15kg | HWM®,WEIGHT_PLATE,true,,,,,UNMODELED,
919,Mini Bosu Ball Morado | FullFit,BALL_BAG,true,,,,,UNMODELED,
91,Disco de Equilibrio de Madera | FullFit,,true,,,,,UNMODELED,
45,Barra Preolímpica Romana,BARBELL,true,,,,,NO_CAPABILITY_APPLICABLE,
